code,name,barcode,unit,is_active,sale_price,ncm
314,RONDELE PRES ABCX RIC,314,KG,0,39.9,19022000
315,RONDELE 4Q NOZES,315,KG,0,39.9,19022000
316,RONDELE RECHEIO ESPECIAL,316,KG,0,39.9,19022000
319,RONDELE 4Q NOZ UVAS PASSAS,319,KG,0,39.9,19022000
400,SOFIATELLI RIC ESPINAFRE,400,KG,0,31.9,19022000
401,SOFIATELLI PRESUNTO E MUCARELA,401,KG,0,31.9,19022000
402,SOFIATELLI QUATRO QUEIJOS,402,KG,0,31.9,19022000
403,SOFIATELLI FRANGO MUCARELA REQ,403,KG,0,31.9,19022000
404,SOFIATELLI 4Q TOMATE SECO,404,KG,0,31.9,19022000
405,SOFIATELLI 4Q ESPINAFRE,405,KG,0,31.9,19022000
406,SOFIATELLI 4Q AZEIT PRETA,406,KG,0,31.9,19022000
407,SOFIATELLI PIZZA,407,KG,0,31.9,19022000
408,SOFIATELLI RICOTA,408,KG,0,31.9,19022000
409,SOFIATELLI RIC NOZ UVAS PASSAS,409,KG,0,39.9,19022000
410,SOFIATELLI RIC TOMATE SECO,410,KG,0,31.9,19022000
411,SOFIATELLI RIC NOZES,411,KG,0,39.9,19022000
412,SOFIATELLI ABOBORA CARNE SECA,412,KG,0,39.9,19022000
413,SOFIATELLI RIC AZEIT PRETA,413,KG,0,31.9,19022000
414,SOFIATELLI PRES ABCX MUCARELA,414,KG,0,39.9,19022000
415,SOFIATELLI 4Q NOZES,415,KG,0,39.9,19022000
416,SOFI BRIE DAMASCO RICOTA,416,KG,0,39.9,19022000
417,SOFIATELLI C CHEESE P PERU,417,KG,0,39.9,19022000
418,SOFIATELLI CREAM CHEESE,418,KG,0,39.9,19022000
419,SOFIATELLI 4Q NOZ UVAS PASSAS,419,KG,0,39.9,19022000
420,SOFIATELLI ABOBORA,420,KG,0,31.9,19022000
421,SOFIATELLI CREME DE GORGONZOLA,421,KG,0,39.9,
456,TALHARIM MOLHO PARISIENSE,456,KG,0,24.9,
457,TALHARIM A BOLONHESA,457,KG,0,24.9,
458,NHOQUE DE BATATA BOLONHESA,458,KG,0,22.9,19022000
459,NHOQUE DE BATATA AO SUGO,459,KG,0,17.9,19022000
460,NHOQUE MANDIOCA BOLONHESA,460,KG,0,24.9,19022000
461,NHOQUE MANDIOCA AO SUGO,461,KG,0,21.9,19022000
500,CONCHIGLIONE RIC ESPINAFRE,500,KG,0,31.9,19022000
501,CONCHIGLIONE PRESUNTO E MUSSARELA,501,KG,0,31.9,19022000
502,CONCHIGLIONE QUATRO QUEIJOS,502,KG,0,31.9,19022000
503,CONCHIGLIONE FRANGO MUSS REQ,503,KG,0,31.9,19022000
504,CONCHIGLIONE 4Q TOMATE SECO,504,KG,0,31.9,19022000
505,CONCHIGLIONE 4Q ESPINAFRE,505,KG,0,31.9,19022000
506,CONCHIGLIONE 4Q AZEIT PRETA,506,KG,0,31.9,19022000
507,CONCHIGLIONE PIZZA,507,KG,0,31.9,19022000
508,CONCHIGLIONE RICOTA,508,KG,0,31.9,19022000
509,CONCHIGLIONE RIC NOZ UVAS PASSAS,509,KG,0,39.9,19022000
510,CONCHIGLIONE RIC TOMATE SECO,510,KG,0,31.9,19022000
511,CONCHIGLIONE RIC NOZES,511,KG,0,39.9,19022000
512,CONCHIGLIONE ABOBORA CARNE SECA,512,KG,0,39.9,19022000
513,CONCHIGLIONE RIC AZEIT PRETA,513,KG,0,31.9,19022000
514,CONCHIGLIONE RIC PRES ABCX,514,KG,0,39.9,19022000
515,CONCHIGLIONE 4Q NOZES,515,KG,0,39.9,19022000
516,"CONCHIGLIONE BRIE, DAMASCO E RICOTA",516,KG,0,39.9,19022000
517,CONCHIGLIONE CREAM CHEESE PEITO DE PERU,517,KG,0,39.9,19022000
518,CONCHIGLIONE CREAM CHEESE,518,KG,0,39.9,19022000
519,CONCHIGLIONE 4Q NOZ UVAS PASSAS,519,KG,0,39.9,19022000
520,CONCHIGLIONE ABOBORA,520,KG,0,31.9,19022000
598,NHOQUE DE BATATA DOCE,598,KG,0,18.9,
599,NHOQUE DE MANDIOQUINHA,599,KG,0,18.9,
600,NHOQUE DE BATATA,600,KG,0,13.5,19022000
601,NHOQUE RECH PRES MUSS,601,KG,0,31.9,19022000
602,NHOQUE RECH 4 QUEIJOS,602,KG,0,31.9,19022000
603,NHOQUE DE MANDIOCA,603,KG,0,9.95,19022000
604,GELATINA COLORIDA,604,KG,0,29.9,21069021
605,PUDIM LEITE CONDENSADO,605,KG,0,26.9,21069021
606,STROGONOFF DE CHOCOLATE,606,KG,0,34.9,21069021
607,PUDIM CASA PEQ,607,UN,0,4.9,21069021
608,PUDIM LEITE COND PEQ,608,UN,0,4.9,21069021
609,BOLO DE MACA E NOZES,609,KG,0,27,19022000
610,PUDIM SORVETE PEQUENO,610,UN,0,4.9,21069021
611,PUDIM SORVETE,611,KG,0,33.9,21069021
612,BOLO DE NATAL,612,KG,0,32,
613,BRIGADEIRAO,613,KG,0,30,
614,BOLO CHARGE,614,KG,0,27,
615,BOLO STROG CHOCOLATE,615,KG,0,27,
616,BOLO CREME COM ABACAXI,616,KG,0,27,
617,PUDIM DE COCO FRUT VERM PEQUENO,617,UN,0,4.9,
618,PUDIM DE COCO FRUT VERMELHAS,618,KG,0,27.9,
619,BOLO DOCE LEITE AMEIXA,619,KG,0,27,
620,MANJAR,620,KG,0,23,
621,PAO CASEIRO,621,UN,0,6,
622,ROSQUINHA DE COCO,622,UN,0,7,
650,LATA COCA COLA,7.89E+16,UN,0,3.8,22021000
651,LATA COCA COLA ZERO,7.89E+16,UN,0,3.8,22021000
652,LATA FANTA LARANJA,7.89E+16,UN,0,3.8,
653,LATA GUARANA ANTARCTICA,7.89E+17,UN,0,3.8,
654,LATA SCHWEPPES CITRUS,7.89E+16,UN,0,3.8,22021000
655,LATA ITUBAINA RETRO,7.90E+17,UN,0,3,22021000
660,PET COCA COLA 2L,7.89E+16,UN,0,8.6,22021000
661,PET COCA COLA ZERO 2L,7.89E+16,UN,0,8.6,22021000
662,PET FANTA LARANJA 2L,662,UN,0,8.6,22021000
663,PET GUARANA ANTARCTICA 2L,7.89E+17,UN,0,8.6,22021000
664,"PET SCHWEPPES CITRUS 1,5L",7.89E+16,UN,0,6.6,22021000
665,PET ITUBAINA RETRO 2L,7.90E+17,UN,0,2.99,22021000
666,PET SCHIN LIMAO 2L,7.90E+17,UN,0,5.5,
667,PET SPRITE 2L,667,UN,0,8.6,
668,AGUA COM GAS,7.89E+16,UN,0,2.75,22011000
669,AGUA SEM GAS,7.89E+16,UN,0,2.25,22021000
701,TORTA DE FRANGO,701,KG,0,30.9,19023000
702,TORTA 4Q TOMATE SECO,702,KG,0,30.9,19023000
703,TORTA DE PALMITO,703,KG,0,30.9,19023000
704,TORTA DE CAMARAO,704,KG,0,43.9,19023000
705,TORTA DE BACALHAU,705,KG,0,40.9,19023000
706,TORTA INT PALMITO,706,KG,0,30.9,19023000
707,TORTA INT FRANGO,707,KG,0,30.9,19023000
708,QUICHE INT RIC BROCOLIS,708,KG,0,30.9,19023000
709,TORTA RICOTA COM BROCOLIS,709,KG,0,30.9,19023000
710,TORTA FRANGO COM PALMITO,710,KG,0,30.9,19023000
711,QUICHE RICOTA ESPINAFRE,711,KG,0,30.9,19023000
712,QUICHE RICOTA COM TOMATE SECO,712,KG,0,30.9,
713,QUICHE DE LEGUMES,713,KG,0,30.9,
714,QUICHE DE CAMARAO,714,KG,0,49.9,
715,TORTA PALMITO COM CAMARAO,715,KG,0,39.9,
716,TORTA X T,716,KG,0,30.9,
860,TORTEI ABOBORA,860,KG,0,38.9,19022000
861,TORTEI ABOBORA CARNE SECA,861,KG,0,38.9,19022000
867,CAPELETE RECHEIO ESPECIAL,867,KG,0,42.9,
870,PELMENI DE CARNE,870,KG,0,42.9,
872,PELMENI DE QUATRO QUEIJOS,872,KG,0,38.9,
880,CAPELETE CARNE,880,KG,0,38.9,19022000
882,CAPELETE 4 QUEIJOS,882,KG,0,38.9,19022000
883,CAPELETE FRANGO,883,KG,0,38.9,19022000
890,RAVIOLE CARNE,890,KG,0,38.9,19022000
891,RAVIOLE PRESUNTO E MUSSARELA,891,KG,0,38.9,19022000
892,RAVIOLE 4 QUEIJOS,892,KG,0,38.9,19022000
893,RAVIOLE FRANGO,893,KG,0,38.9,19022000
894,RAVIOLE RICOTA,894,KG,0,38.9,19022000
